N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
35,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Urbana,,,,,,,,560.0,42,518,140,420,28,532,9,551,3,557,609.0,69,496,44,153,412,44,146,419,44,36,529,44,4,561,44,,,,,,,7.5,92.5,25,75,5,95,1.6071429,98.3928571,0.5357143,99.4642857,12.2123894,87.7876106,27.079646,72.920354,25.840708,74.159292,6.3716814,93.6283186,0.7079646,99.2920354
36,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Rural,1958.0,6,1952,136,1822,8,1950,2157.0,34,2123,198,1959,24,2133,21,2136,3,2154,2662.0,76,2404,182,335,2145,182,404,2076,182,88,2389,185,13,2466,183,0.3064351,99.6935649,6.9458631,93.0541369,0.4085802,99.5914198,1.5762633,98.4237367,9.1794159,90.8205841,1.1126565,98.8873435,0.9735744,99.0264256,0.1390821,99.8609179,3.0645161,96.9354839,13.5080645,86.4919355,16.2903226,83.7096774,3.5526847,96.4473153,0.524405,99.475595
37,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Mojocoya,1795.0,44,1751,776,1019,26,1769,1982.0,136,1846,705,1277,281,1701,17,1965,5,1977,2543.0,296,2136,111,859,1574,110,1195,1237,111,118,2314,111,15,2417,111,2.4512535,97.5487465,43.2311978,56.7688022,1.448468,98.551532,6.8617558,93.1382442,35.5701312,64.4298688,14.1775984,85.8224016,0.8577195,99.1422805,0.2522704,99.7477296,12.1710526,87.8289474,35.3062063,64.6937937,49.1365132,50.8634868,4.8519737,95.1480263,0.6167763,99.3832237
38,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Urbana,,,,,,,,,,,,,,,,,,,857.0,154,669,34,349,474,34,460,363,34,53,770,34,7,816,34,,,,,,,,,,,,,,,,,18.7120292,81.2879708,42.4058323,57.5941677,55.8930741,44.1069259,6.4398542,93.5601458,0.8505468,99.1494532
39,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Rural,1795.0,44,1751,776,1019,26,1769,1982.0,136,1846,705,1277,281,1701,17,1965,5,1977,1686.0,142,1467,77,510,1100,76,735,874,77,65,1544,77,8,1601,77,2.4512535,97.5487465,43.2311978,56.7688022,1.448468,98.551532,6.8617558,93.1382442,35.5701312,64.4298688,14.1775984,85.8224016,0.8577195,99.1422805,0.2522704,99.7477296,8.8253574,91.1746426,31.6770186,68.3229814,45.6805469,54.3194531,4.0397763,95.9602237,0.4972032,99.5027968
40,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,1679.0,25,1654,246,1433,6,1673,1831.0,71,1760,261,1570,24,1807,20,1811,2,1829,2635.0,194,2327,114,296,2227,112,285,2237,113,95,2427,113,12,2510,113,1.4889815,98.5110185,14.6515783,85.3484217,0.3573556,99.6426444,3.8776625,96.1223375,14.2545057,85.7454943,1.3107591,98.6892409,1.0922993,98.9077007,0.1092299,99.8907701,7.695359,92.304641,11.732065,88.267935,11.3005551,88.6994449,3.7668517,96.2331483,0.4758128,99.5241872
41,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Rural,1679.0,25,1654,246,1433,6,1673,1831.0,71,1760,261,1570,24,1807,20,1811,2,1829,2635.0,194,2327,114,296,2227,112,285,2237,113,95,2427,113,12,2510,113,1.4889815,98.5110185,14.6515783,85.3484217,0.3573556,99.6426444,3.8776625,96.1223375,14.2545057,85.7454943,1.3107591,98.6892409,1.0922993,98.9077007,0.1092299,99.8907701,7.695359,92.304641,11.732065,88.267935,11.3005551,88.6994449,3.7668517,96.2331483,0.4758128,99.5241872
43,Provincia,Chuquisaca,Tomina,,Tomina,7912.0,158,7754,1572,6340,57,7855,9217.0,490,8727,1741,7476,416,8801,75,9142,20,9197,10144.0,1185,8575,384,1582,8189,373,2431,7332,381,429,9333,382,71,9690,383,1.9969666,98.0030334,19.8685541,80.1314459,0.7204247,99.2795753,5.3162634,94.6837366,18.8890094,81.1109906,4.5133992,95.4866008,0.8137138,99.1862862,0.2169903,99.7830097,12.1413934,87.8586066,16.1907686,83.8092314,24.9001332,75.0998668,4.3945913,95.6054087,0.7273845,99.2726155
44,Provincia,Chuquisaca,Tomina,,Urbana,669.0,69,600,238,431,20,649,1590.0,191,1399,440,1150,144,1446,35,1555,4,1586,2053.0,411,1559,83,565,1405,83,536,1434,83,96,1874,83,22,1947,84,10.3139013,89.6860987,35.5754858,64.4245142,2.9895366,97.0104634,12.0125786,87.9874214,27.672956,72.327044,9.0566038,90.9433962,2.2012579,97.7987421,0.2515723,99.7484277,20.8629442,79.1370558,28.680203,71.319797,27.2081218,72.7918782,4.8730964,95.1269036,1.1173184,98.8826816
45,Provincia,Chuquisaca,Tomina,,Rural,7243.0,89,7154,1334,5909,37,7206,7627.0,299,7328,1301,6326,272,7355,40,7587,16,7611,8091.0,774,7016,301,1017,6784,290,1895,5898,298,333,7459,299,49,7743,299,1.2287726,98.7712274,18.4177827,81.5822173,0.5108381,99.4891619,3.9202832,96.0797168,17.0578209,82.9421791,3.5662777,96.4337223,0.5244526,99.4755474,0.209781,99.790219,9.9358151,90.0641849,13.0367902,86.9632098,24.3166945,75.6833055,4.273614,95.726386,0.6288501,99.3711499
46,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,2750.0,89,2661,626,2124,25,2725,2810.0,215,2595,601,2209,198,2612,33,2777,9,2801,3186.0,524,2547,115,550,2526,110,853,2220,113,116,2956,114,27,3044,115,3.2363636,96.7636364,22.7636364,77.2363636,0.9090909,99.0909091,7.6512456,92.3487544,21.3879004,78.6120996,7.0462633,92.9537367,1.1743772,98.8256228,0.3202847,99.6797153,17.062846,82.937154,17.8803641,82.1196359,27.7578913,72.2421087,3.7760417,96.2239583,0.8791924,99.1208076
47,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Urbana,669.0,69,600,238,431,20,649,986.0,142,844,294,692,99,887,28,958,2,984,1489.0,330,1099,60,383,1046,60,367,1062,60,75,1354,60,12,1416,61,10.3139013,89.6860987,35.5754858,64.4245142,2.9895366,97.0104634,14.4016227,85.5983773,29.8174442,70.1825558,10.040568,89.959432,2.8397566,97.1602434,0.2028398,99.7971602,23.0930721,76.9069279,26.8019594,73.1980406,25.6822953,74.3177047,5.2484255,94.7515745,0.8403361,99.1596639
48,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Rural,2081.0,20,2061,388,1693,5,2076,1824.0,73,1751,307,1517,99,1725,5,1819,7,1817,1697.0,194,1448,55,167,1480,50,486,1158,53,41,1602,54,15,1628,54,0.9610764,99.0389236,18.6448823,81.3551177,0.2402691,99.7597309,4.002193,95.997807,16.8311404,83.1688596,5.4276316,94.5723684,0.2741228,99.7258772,0.3837719,99.6162281,11.8148599,88.1851401,10.1396478,89.8603522,29.5620438,70.4379562,2.4954352,97.5045648,0.9129641,99.0870359
49,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,1921.0,31,1890,509,1412,12,1909,2113.0,88,2025,515,1598,86,2027,29,2084,6,2107,2243.0,218,1919,106,490,1649,104,678,1459,106,162,1976,105,20,2118,105,1.6137428,98.3862572,26.4966163,73.5033837,0.6246746,99.3753254,4.1646947,95.8353053,24.3729295,75.6270705,4.0700426,95.9299574,1.3724562,98.6275438,0.2839565,99.7160435,10.2012167,89.7987833,22.9079009,77.0920991,31.7267197,68.2732803,7.5771749,92.4228251,0.9354537,99.0645463
50,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Urbana,,,,,,,,,,,,,,,,,,,564.0,81,460,23,182,359,23,169,372,23,21,520,23,10,531,23,,,,,,,,,,,,,,,,,14.9722736,85.0277264,33.6414048,66.3585952,31.2384473,68.7615527,3.8817006,96.1182994,1.8484288,98.1515712
51,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Rural,1921.0,31,1890,509,1412,12,1909,2113.0,88,2025,515,1598,86,2027,29,2084,6,2107,1679.0,137,1459,83,308,1290,81,509,1087,83,141,1456,82,10,1587,82,1.6137428,98.3862572,26.4966163,73.5033837,0.6246746,99.3753254,4.1646947,95.8353053,24.3729295,75.6270705,4.0700426,95.9299574,1.3724562,98.6275438,0.2839565,99.7160435,8.5839599,91.4160401,19.2740926,80.7259074,31.8922306,68.1077694,8.8290545,91.1709455,0.6261741,99.3738259
52,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,1518.0,17,1501,235,1283,10,1508,2010.0,70,1940,332,1678,63,1947,8,2002,4,2006,2087.0,143,1861,83,226,1778,83,398,1606,83,82,1922,83,5,1999,83,1.1198946,98.8801054,15.4808959,84.5191041,0.6587615,99.3412385,3.4825871,96.5174129,16.5174129,83.4825871,3.1343284,96.8656716,0.39801,99.60199,0.199005,99.800995,7.1357285,92.8642715,11.2774451,88.7225549,19.8602794,80.1397206,4.0918164,95.9081836,0.249501,99.750499
53,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Urbana,,,,,,,,604.0,49,555,146,458,45,559,7,597,2,602,,,,,,,,,,,,,,,,,,,,,,,8.1125828,91.8874172,24.1721854,75.8278146,7.4503311,92.5496689,1.1589404,98.8410596,0.3311258,99.6688742,,,,,,,,,,
54,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Rural,1518.0,17,1501,235,1283,10,1508,1406.0,21,1385,186,1220,18,1388,1,1405,2,1404,2087.0,143,1861,83,226,1778,83,398,1606,83,82,1922,83,5,1999,83,1.1198946,98.8801054,15.4808959,84.5191041,0.6587615,99.3412385,1.4935989,98.5064011,13.2290185,86.7709815,1.2802276,98.7197724,0.0711238,99.9288762,0.1422475,99.8577525,7.1357285,92.8642715,11.2774451,88.7225549,19.8602794,80.1397206,4.0918164,95.9081836,0.249501,99.750499
55,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Alcalá,727.0,13,714,134,593,7,720,1072.0,74,998,187,885,43,1029,5,1067,0,1072,1189.0,169,976,44,193,953,43,259,887,43,43,1102,44,4,1141,44,1.7881706,98.2118294,18.431912,81.568088,0.9628611,99.0371389,6.9029851,93.0970149,17.4440299,82.5559701,4.011194,95.988806,0.4664179,99.5335821,0,100,14.7598253,85.2401747,16.8411867,83.1588133,22.600349,77.399651,3.7554585,96.2445415,0.349345,99.650655
56,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Rural,727.0,13,714,134,593,7,720,1072.0,74,998,187,885,43,1029,5,1067,0,1072,1189.0,169,976,44,193,953,43,259,887,43,43,1102,44,4,1141,44,1.7881706,98.2118294,18.431912,81.568088,0.9628611,99.0371389,6.9029851,93.0970149,17.4440299,82.5559701,4.011194,95.988806,0.4664179,99.5335821,0,100,14.7598253,85.2401747,16.8411867,83.1588133,22.600349,77.399651,3.7554585,96.2445415,0.349345,99.650655
58,Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,996.0,8,988,68,928,3,993,1212.0,43,1169,106,1106,26,1186,0,1212,1,1211,1439.0,131,1272,36,123,1283,33,243,1160,36,26,1377,36,15,1388,36,0.8032129,99.1967871,6.8273092,93.1726908,0.3012048,99.6987952,3.5478548,96.4521452,8.7458746,91.2541254,2.1452145,97.8547855,0,100,0.0825083,99.9174917,9.3371347,90.6628653,8.7482219,91.2517781,17.3200285,82.6799715,1.8531718,98.1468282,1.0691376,98.9308624
59,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Rural,996.0,8,988,68,928,3,993,1212.0,43,1169,106,1106,26,1186,0,1212,1,1211,1439.0,131,1272,36,123,1283,33,243,1160,36,26,1377,36,15,1388,36,0.8032129,99.1967871,6.8273092,93.1726908,0.3012048,99.6987952,3.5478548,96.4521452,8.7458746,91.2541254,2.1452145,97.8547855,0,100,0.0825083,99.9174917,9.3371347,90.6628653,8.7482219,91.2517781,17.3200285,82.6799715,1.8531718,98.1468282,1.0691376,98.9308624
61,Provincia,Chuquisaca,Hernando Siles,,Hernando Siles,7348.0,534,6814,1604,5744,106,7242,8158.0,1206,6952,1642,6516,625,7533,103,8055,37,8121,10043.0,2199,7439,405,2608,7031,404,2564,7076,403,176,9459,408,87,9550,406,7.2672836,92.7327164,21.8290691,78.1709309,1.4425694,98.5574306,14.7830351,85.2169649,20.1274822,79.8725178,7.6611915,92.3388085,1.2625644,98.7374356,0.4535425,99.5464575,22.8159369,77.1840631,27.0567486,72.9432514,26.5975104,73.4024896,1.8266736,98.1733264,0.9027706,99.0972294
62,Provincia,Chuquisaca,Hernando Siles,,Urbana,1541.0,290,1251,559,982,71,1470,2765.0,710,2055,862,1903,371,2394,20,2745,5,2760,4068.0,1319,2593,156,1638,2273,157,1136,2776,156,47,3864,157,33,3878,157,18.8189487,81.1810513,36.275146,63.724854,4.6073978,95.3926022,25.6781193,74.3218807,31.1754069,68.8245931,13.4177215,86.5822785,0.7233273,99.2766727,0.1808318,99.8191682,33.7167689,66.2832311,41.8818716,58.1181284,29.0388548,70.9611452,1.2017387,98.7982613,0.843774,99.156226
63,Provincia,Chuquisaca,Hernando Siles,,Rural,5807.0,244,5563,1045,4762,35,5772,5393.0,496,4897,780,4613,254,5139,83,5310,32,5361,5975.0,880,4846,249,970,4758,247,1428,4300,247,129,5595,251,54,5672,249,4.2018254,95.7981746,17.9955226,82.0044774,0.6027209,99.3972791,9.1971074,90.8028926,14.463193,85.536807,4.709809,95.290191,1.5390321,98.4609679,0.5933618,99.4066382,15.3684946,84.6315054,16.9343575,83.0656425,24.9301676,75.0698324,2.2536688,97.7463312,0.9430667,99.0569333
64,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,5399.0,441,4958,1340,4059,94,5305,6079.0,1010,5069,1377,4702,521,5558,67,6012,26,6053,7742.0,1893,5542,307,2309,5126,307,1966,5470,306,129,7304,309,65,7369,308,8.1681793,91.8318207,24.819411,75.180589,1.7410632,98.2589368,16.6145748,83.3854252,22.6517519,77.3482481,8.5704886,91.4295114,1.102155,98.897845,0.4277019,99.5722981,25.460659,74.539341,31.0558171,68.9441829,26.4389457,73.5610543,1.7355038,98.2644962,0.874361,99.125639
65,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Urbana,1541.0,290,1251,559,982,71,1470,2765.0,710,2055,862,1903,371,2394,20,2745,5,2760,4068.0,1319,2593,156,1638,2273,157,1136,2776,156,47,3864,157,33,3878,157,18.8189487,81.1810513,36.275146,63.724854,4.6073978,95.3926022,25.6781193,74.3218807,31.1754069,68.8245931,13.4177215,86.5822785,0.7233273,99.2766727,0.1808318,99.8191682,33.7167689,66.2832311,41.8818716,58.1181284,29.0388548,70.9611452,1.2017387,98.7982613,0.843774,99.156226
66,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Rural,3858.0,151,3707,781,3077,23,3835,3314.0,300,3014,515,2799,150,3164,47,3267,21,3293,3674.0,574,2949,151,671,2853,150,830,2694,150,82,3440,152,32,3491,151,3.913945,96.086055,20.2436496,79.7563504,0.5961638,99.4038362,9.0525045,90.9474955,15.5401328,84.4598672,4.5262523,95.4737477,1.4182257,98.5817743,0.6336753,99.3663247,16.2929322,83.7070678,19.0408627,80.9591373,23.5527809,76.4472191,2.3282226,97.6717774,0.9083168,99.0916832
67,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Huacareta,1949.0,93,1856,264,1685,12,1937,2079.0,196,1883,265,1814,104,1975,36,2043,11,2068,2301.0,306,1897,98,299,1905,97,598,1606,97,47,2155,99,22,2181,98,4.7716778,95.2283222,13.5454079,86.4545921,0.6157004,99.3842996,9.4276094,90.5723906,12.7465127,87.2534873,5.002405,94.997595,1.7316017,98.2683983,0.5291005,99.4708995,13.8901498,86.1098502,13.5662432,86.4337568,27.1324864,72.8675136,2.1344233,97.8655767,0.9986382,99.0013618
68,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Rural,1949.0,93,1856,264,1685,12,1937,2079.0,196,1883,265,1814,104,1975,36,2043,11,2068,2301.0,306,1897,98,299,1905,97,598,1606,97,47,2155,99,22,2181,98,4.7716778,95.2283222,13.5454079,86.4545921,0.6157004,99.3842996,9.4276094,90.5723906,12.7465127,87.2534873,5.002405,94.997595,1.7316017,98.2683983,0.5291005,99.4708995,13.8901498,86.1098502,13.5662432,86.4337568,27.1324864,72.8675136,2.1344233,97.8655767,0.9986382,99.0013618
70,Provincia,Chuquisaca,Yamparáez,,Yamparáez,6813.0,128,6685,1533,5280,19,6794,7336.0,557,6779,1387,5949,87,7249,314,7022,21,7315,7348.0,1008,5946,394,1210,5755,383,988,5971,389,714,6238,396,70,6880,398,1.8787612,98.1212388,22.5011008,77.4988992,0.2788786,99.7211214,7.5926936,92.4073064,18.9067612,81.0932388,1.1859324,98.8140676,4.2802617,95.7197383,0.2862595,99.7137405,14.4952545,85.5047455,17.3725772,82.6274228,14.1974422,85.8025578,10.2704258,89.7295742,1.0071942,98.9928058
71,Provincia,Chuquisaca,Yamparáez,,Urbana,658.0,46,612,199,459,3,655,781.0,74,707,204,577,18,763,186,595,7,774,913.0,136,744,33,206,674,33,139,741,33,252,628,33,25,855,33,6.9908815,93.0091185,30.2431611,69.7568389,0.4559271,99.5440729,9.475032,90.524968,26.1203585,73.8796415,2.3047375,97.6952625,23.815621,76.184379,0.8962868,99.1037132,15.4545455,84.5454545,23.4090909,76.5909091,15.7954545,84.2045455,28.6363636,71.3636364,2.8409091,97.1590909
72,Provincia,Chuquisaca,Yamparáez,,Rural,6155.0,82,6073,1334,4821,16,6139,6555.0,483,6072,1183,5372,69,6486,128,6427,14,6541,6435.0,872,5202,361,1004,5081,350,849,5230,356,462,5610,363,45,6025,365,1.3322502,98.6677498,21.6734362,78.3265638,0.2599513,99.7400487,7.3684211,92.6315789,18.0472921,81.9527079,1.0526316,98.9473684,1.9527079,98.0472921,0.2135774,99.7864226,14.3562726,85.6437274,16.4995892,83.5004108,13.9661128,86.0338872,7.6086957,92.3913043,0.7413509,99.2586491
73,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,4381.0,71,4310,862,3519,14,4367,4386.0,202,4184,810,3576,51,4335,292,4094,15,4371,4279.0,437,3598,244,720,3322,237,613,3426,240,575,3461,243,53,3982,244,1.6206346,98.3793654,19.6758731,80.3241269,0.3195617,99.6804383,4.6055632,95.3944368,18.4678523,81.5321477,1.1627907,98.8372093,6.6575467,93.3424533,0.3419973,99.6580027,10.8302354,89.1697646,17.8129639,82.1870361,15.177024,84.822976,14.246779,85.753221,1.3135068,98.6864932
74,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Urbana,658.0,46,612,199,459,3,655,781.0,74,707,204,577,18,763,186,595,7,774,913.0,136,744,33,206,674,33,139,741,33,252,628,33,25,855,33,6.9908815,93.0091185,30.2431611,69.7568389,0.4559271,99.5440729,9.475032,90.524968,26.1203585,73.8796415,2.3047375,97.6952625,23.815621,76.184379,0.8962868,99.1037132,15.4545455,84.5454545,23.4090909,76.5909091,15.7954545,84.2045455,28.6363636,71.3636364,2.8409091,97.1590909
75,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Rural,3723.0,25,3698,663,3060,11,3712,3605.0,128,3477,606,2999,33,3572,106,3499,8,3597,3366.0,301,2854,211,514,2648,204,474,2685,207,323,2833,210,28,3127,211,0.6715015,99.3284985,17.8082192,82.1917808,0.2954607,99.7045393,3.5506241,96.4493759,16.8099861,83.1900139,0.9153953,99.0846047,2.9403606,97.0596394,0.221914,99.778086,9.540412,90.459588,16.2555345,83.7444655,15.0047483,84.9952517,10.234474,89.765526,0.8874802,99.1125198
76,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,2432.0,57,2375,671,1761,5,2427,2950.0,355,2595,577,2373,36,2914,22,2928,6,2944,3069.0,571,2348,150,490,2433,146,375,2545,149,139,2777,153,17,2898,154,2.34375,97.65625,27.5904605,72.4095395,0.2055921,99.7944079,12.0338983,87.9661017,19.559322,80.440678,1.220339,98.779661,0.7457627,99.2542373,0.2033898,99.7966102,19.5614937,80.4385063,16.763599,83.236401,12.8424658,87.1575342,4.7668038,95.2331962,0.5831904,99.4168096
77,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Rural,2432.0,57,2375,671,1761,5,2427,2950.0,355,2595,577,2373,36,2914,22,2928,6,2944,3069.0,571,2348,150,490,2433,146,375,2545,149,139,2777,153,17,2898,154,2.34375,97.65625,27.5904605,72.4095395,0.2055921,99.7944079,12.0338983,87.9661017,19.559322,80.440678,1.220339,98.779661,0.7457627,99.2542373,0.2033898,99.7966102,19.5614937,80.4385063,16.763599,83.236401,12.8424658,87.1575342,4.7668038,95.2331962,0.5831904,99.4168096
79,Provincia,Chuquisaca,Nor Cinti,,Nor Cinti,15451.0,650,14801,6110,9341,146,15305,18587.0,1992,16595,6361,12226,642,17945,207,18380,47,18540,21769.0,4747,16075,947,6141,14691,937,3104,17722,943,865,19952,952,146,20668,955,4.2068475,95.7931525,39.5443661,60.4556339,0.9449227,99.0550773,10.7171679,89.2828321,34.2228439,65.7771561,3.454027,96.545973,1.1136816,98.8863184,0.2528649,99.7471351,22.7980021,77.2019979,29.4786866,70.5213134,14.9044464,85.0955536,4.1552577,95.8447423,0.7014509,99.2985491
80,Provincia,Chuquisaca,Nor Cinti,,Urbana,1078.0,186,892,585,493,54,1024,2069.0,521,1548,903,1166,184,1885,24,2045,4,2065,4332.0,1312,2863,157,2045,2131,156,928,3247,157,182,3993,157,34,4140,158,17.2541744,82.7458256,54.2671614,45.7328386,5.0092764,94.9907236,25.181247,74.818753,43.6442726,56.3557274,8.8931851,91.1068149,1.1599807,98.8400193,0.1933301,99.8066699,31.4251497,68.5748503,48.9703065,51.0296935,22.2275449,77.7724551,4.3592814,95.6407186,0.8145664,99.1854336
